Section;Element;Reference;Observation réelle;Risque ONCA;Priorité
Authentification;Login;routes/api.php, app/Http/Controllers/Api/AuthController.php;Le login utilise Sanctum et ne renvoie un token que pour les utilisateurs admin;Accès limité aux profils admin pour les API sensibles;Haute
Authentification;Register;routes/api.php, app/Http/Controllers/Api/AuthController.php;Register est public et crée aussi un token Sanctum;Création de comptes non contrôlée si exposée sans règles métier;Haute
Authentification;Token storage;database/migrations/2026_06_27_000000_create_personal_access_tokens_table.php;Table Sanctum corrigée en AUTO_INCREMENT avec expires_at;L'ancien schéma MySQL cassait le login;Corrigée
Utilisateurs;Gestion user;routes/api.php, app/Http/Controllers/Api/UserController.php;Update et delete sont protégés par auth:sanctum et contrôle is_admin;Suppression/modification réservée aux admins, bon point de sécurité;Moyenne
Modules métier;Consultations;routes/api.php, app/Http/Controllers/Api/ConsultationController.php;Plusieurs endpoints index/store/show/update et sous-actions prestations, devis, comparatif, commission, ouverture-plis, suivi, réception, liquidation, documents;Surface fonctionnelle large avec risque de régression;Haute
Modules métier;AOO et marchés;routes/api.php, app/Http/Controllers/Api/AooController.php, app/Http/Controllers/Api/MarcheController.php;Endpoints complets pour AOOs, lots, documents, analyse multi-lots, attribution et marchés;Flux métier complexe nécessitant tests fonctionnels;Haute
Budget;Budgets;routes/api.php, app/Http/Controllers/Api/BudgetController.php;Endpoints index, store, show seulement;Couverture partielle du cycle budget;Moyenne
Fournisseurs;Fournisseurs;routes/api.php, app/Http/Controllers/Api/FournisseurController.php;Ressource API complète sous auth:sanctum;Données fournisseurs sensibles, besoin de validation stricte;Haute
Workflow;Engagements;routes/api.php, app/Http/Controllers/EngagementWorkflowController.php;Workflow d'état séparé avec timeline et transition;Risque de désynchronisation des états métier;Haute
Suivi d'exécution;Suivi;routes/api.php, app/Http/Controllers/Api/SuiviExecutionController.php;Lecture, mise à jour et événements de suivi;Traçabilité essentielle, forte valeur audit;Haute
Documents;Génération PDF et archives;routes/api.php, app/Http/Controllers/Api/DocumentController.php;Génération et téléchargement de PDF/ZIP sur consultations;Gestion documentaire critique pour les preuves d'audit;Haute
Base de données;Migrations de compatibilité;database/migrations/2026_06_25_120000_refactor_concurrent_lot_decisions_to_fournisseurs.php;Un check MySQL-only a été rendu compatible SQLite;Risque de migration bloquante sur environnements de test;Corrigée
Base de données;Tests MySQL;phpunit.xml;Les tests ciblés tournent désormais sur mysql avec erp_onca_test;Environnement de test aligné avec la production MySQL;Haute
Couverture tests;Auth + User;tests/Feature/Api/AuthControllerTest.php, tests/Feature/Api/UserControllerTest.php;Tests ajoutés pour login, register, update, delete;Baisse du risque de régression sur l'auth et les users;Haute
Inventaire projet;Modèles métier;app/Models/*.php;Le backend contient 27 modèles métier dont Aoo, Marche, Consultation, Fournisseur, Budget, Engagement, SuiviExecution, Reception, LiquidationFinanciere;Structure riche mais complexe, besoin de gouvernance des règles métier;Haute
